# UTIAS Multi-Robot Cooperative Localization and Mapping Dataset
# produced by Keith Leung (keith.leung@robotics.utias.utoronto.ca) 2009
# Odometry Data Fomat:
# Time [s]    forward velocity [m/s]    angular velocity[rad/s] 
1248446190.224 	  0.000 	  0.000 
1248446190.234 	  0.000 	  0.000 
1248446190.244 	  0.000 	  0.000 
1248446190.254 	  0.000 	  0.000 
1248446190.265 	  0.000 	  0.000 
1248446190.275 	  0.000 	  0.000 
1248446190.285 	  0.000 	  0.000 
1248446190.295 	  0.000 	  0.000 
1248446190.305 	  0.000 	  0.000 
1248446190.316 	  0.000 	  0.000 
1248446190.326 	  0.000 	  0.000 
1248446190.336 	  0.000 	  0.000 
1248446190.346 	  0.000 	  0.000 
1248446190.356 	  0.000 	  0.000 
1248446190.367 	  0.000 	  0.000 
1248446190.377 	  0.000 	  0.000 
1248446190.387 	  0.000 	  0.000 
1248446190.397 	  0.000 	  0.000 
1248446190.407 	  0.000 	  0.000 
1248446190.418 	  0.000 	  0.000 
1248446190.428 	  0.000 	  0.000 
1248446190.438 	  0.000 	  0.000 
1248446190.448 	  0.000 	  0.000 
1248446190.458 	  0.000 	  0.000 
1248446190.469 	  0.000 	  0.000 
1248446190.479 	  0.000 	  0.000 
1248446190.489 	  0.000 	  0.000 
1248446190.499 	  0.000 	  0.000 
1248446190.509 	  0.000 	  0.000 
1248446190.520 	  0.000 	  0.000 
1248446190.530 	  0.000 	  0.000 
1248446190.540 	  0.000 	  0.000 
1248446190.550 	  0.000 	  0.000 
1248446190.560 	  0.000 	  0.000 
1248446190.571 	  0.000 	  0.000 
1248446190.581 	  0.000 	  0.000 
1248446190.591 	  0.000 	  0.000 
1248446190.601 	  0.000 	  0.000 
1248446190.611 	  0.000 	  0.000 
1248446190.622 	  0.000 	  0.000 
1248446190.632 	  0.000 	  0.000 
1248446190.642 	  0.000 	  0.000 
1248446190.652 	  0.000 	  0.000 
1248446190.662 	  0.000 	  0.000 
1248446190.673 	  0.000 	  0.000 
1248446190.683 	  0.000 	  0.000 
1248446190.693 	  0.000 	  0.000 
1248446190.703 	  0.000 	  0.000 
1248446190.713 	  0.000 	  0.000 
1248446190.724 	  0.000 	  0.000 
1248446190.734 	  0.000 	  0.000 
1248446190.745 	  0.084 	 -0.389 
1248446190.776 	  0.084 	 -0.389 
1248446190.786 	  0.084 	 -0.389 
1248446190.796 	  0.084 	 -0.389 
1248446190.807 	  0.084 	 -0.389 
1248446191.010 	  0.000 	  0.000 
1248446191.020 	  0.000 	  0.000 
1248446191.030 	  0.000 	  0.000 
1248446191.041 	  0.000 	  0.000 
1248446191.051 	  0.000 	  0.000 
1248446191.061 	  0.000 	  0.000 
1248446191.071 	  0.084 	 -0.389 
1248446191.082 	  0.084 	 -0.389 
1248446191.103 	  0.084 	 -0.387 
1248446191.113 	  0.083 	 -0.385 
1248446191.123 	  0.083 	 -0.383 
1248446191.133 	  0.083 	 -0.381 
1248446191.144 	  0.083 	 -0.379 
1248446191.154 	  0.083 	 -0.378 
1248446191.164 	  0.082 	 -0.376 
1248446191.175 	  0.082 	 -0.374 
1248446191.185 	  0.082 	 -0.372 
1248446191.195 	  0.082 	 -0.371 
