# UTIAS Multi-Robot Cooperative Localization and Mapping Dataset
# produced by Keith Leung (keith.leung@robotics.utias.utoronto.ca) 2009
# Landmark Groundtruth Data Fomat:
# Subject #    x [m]    y [m]    x std-dev [m]    y std-dev [m] 
  6 	 0.58842660 	 -4.28209684 	 0.00003949 	 0.00059654 
  7 	 0.68229930 	 -4.44548076 	 0.00004113 	 0.00059348 
  8 	 0.85921958 	 -4.46828256 	 0.00004442 	 0.00058645 
  9 	 2.81119813 	 -4.40699973 	 0.00009580 	 0.00058615 
 10 	 2.94890672 	 -4.28846806 	 0.00008492 	 0.00064494 
 11 	 3.04789878 	 -2.53805465 	 0.00010432 	 0.00033308 
 12 	 2.85837200 	 -2.39124147 	 0.00010835 	 0.00034704 
 13 	 3.12152032 	 -2.29425932 	 0.00014148 	 0.00030518 
 14 	 1.69420073 	 2.66008425 	 0.00009542 	 0.00018784 
 15 	 1.54704561 	 2.76937909 	 0.00010709 	 0.00021023 
 16 	 3.14233783 	 4.00030690 	 0.00017693 	 0.00012218 
 17 	 3.31616205 	 3.95371954 	 0.00014926 	 0.00008971 
 18 	 3.47228374 	 3.86617734 	 0.00013749 	 0.00007001 
 19 	 1.40956467 	 4.53157531 	 0.00003923 	 0.00037555 
 20 	 1.24714039 	 4.46386435 	 0.00003554 	 0.00038935 
