# UTIAS Multi-Robot Cooperative Localization and Mapping Dataset
# produced by Keith Leung (keith.leung@robotics.utias.utoronto.ca) 2009
# Measurement Data Fomat:
# Time [s]    Subject #    range [m]    bearing [rad] 
1288971815.570 	  25 	  2.596 	  0.117 
1288971815.570 	  14 	  2.197 	  0.362 
1288971815.790 	  25 	  2.596 	  0.117 
1288971815.790 	  14 	  2.202 	  0.362 
1288971816.010 	   9 	  4.993 	 -0.322 
1288971816.010 	  14 	  2.199 	  0.362 
1288971816.230 	   9 	  4.990 	 -0.323 
1288971816.230 	  14 	  2.202 	  0.362 
1288971816.463 	   9 	  5.062 	 -0.317 
1288971816.463 	  14 	  2.201 	  0.362 
1288971816.692 	  90 	  7.284 	 -0.453 
1288971816.692 	  14 	  2.202 	  0.362 
1288971816.923 	  90 	  7.284 	 -0.453 
1288971816.923 	  14 	  2.202 	  0.362 
1288971817.155 	   9 	  5.003 	 -0.321 
1288971817.155 	  14 	  2.202 	  0.362 
1288971817.387 	   9 	  5.009 	 -0.321 
1288971817.387 	  14 	  2.202 	  0.362 
1288971817.617 	   9 	  5.032 	 -0.321 
1288971817.617 	  14 	  2.202 	  0.362 
1288971817.847 	   9 	  5.003 	 -0.323 
1288971817.847 	  14 	  2.202 	  0.362 
1288971818.082 	  25 	  2.593 	  0.118 
1288971818.082 	  14 	  2.202 	  0.362 
1288971818.315 	   9 	  5.003 	 -0.321 
1288971818.315 	  14 	  2.202 	  0.362 
1288971818.547 	   9 	  5.062 	 -0.317 
1288971818.547 	  14 	  2.201 	  0.362 
1288971818.808 	   9 	  5.009 	 -0.320 
1288971818.808 	  14 	  2.202 	  0.362 
1288971819.041 	   9 	  4.996 	 -0.323 
1288971819.041 	  14 	  2.202 	  0.362 
1288971819.274 	  14 	  2.202 	  0.362 
1288971819.434 	   9 	  5.032 	 -0.321 
1288971819.434 	  14 	  2.202 	  0.362 
1288971819.597 	   9 	  5.032 	 -0.321 
1288971819.597 	  14 	  2.202 	  0.362 
1288971819.826 	   9 	  5.009 	 -0.323 
1288971819.826 	  14 	  2.202 	  0.362 
1288971820.056 	   9 	  4.996 	 -0.322 
1288971820.056 	  14 	  2.202 	  0.362 
